,,mean,std
score,0,1.07282452879,0.579139619021
a,0,1.08103461067,0.0159140470367
a,1,0.409943986819,0.0643585771407
a,2,0.504914525477,0.0725141802944
a,3,0.47037751249,0.0755465892094
k,0,0.888289647469,0.147238341928
k,1,0.513390319214,0.0990661627911
k,2,0.461733829614,0.0911239549308
k,3,0.446825514338,0.0920113765716
b,0,0.0977411133818,0.00113112010812
b,1,0.0937516349656,0.00128606411082
u,0,0.389255046993,0.0421657388007
n,0,1.59899139729,0.0369563791419
weight,,0.947921859477,0.0599537688699
