,time,unit,layers,value
0,1.0,0,4,0.374420758508
1,2.0,0,4,0.713283220541
2,3.0,0,4,1.01996423837
3,4.0,0,4,1.29751994893
4,5.0,0,4,1.54871634738
5,6.0,0,4,1.77605687099
6,7.0,0,4,1.98180713246
7,8.0,0,4,2.16801722611
8,9.0,0,4,2.33654330393
9,10.0,0,4,2.4890645383
10,11.0,0,4,2.62710099561
11,12.0,0,4,2.75202860143
12,13.0,0,4,2.86509193738
13,14.0,0,4,2.9674173035
14,15.0,0,4,3.06002510833
15,16.0,0,4,3.14383788149
16,17.0,0,4,3.21969133881
17,18.0,0,4,3.28834084644
18,19.0,0,4,3.35047104543
19,20.0,0,4,3.4067005472
20,21.0,0,4,3.4575902759
21,22.0,0,4,3.50364685717
22,23.0,0,4,3.54532970705
23,24.0,0,4,3.58305381987
24,25.0,0,4,3.61719546486
25,26.0,0,4,3.64809461702
26,27.0,0,4,3.67605930885
27,28.0,0,4,3.70136781095
28,29.0,0,4,3.72427245427
29,30.0,0,4,3.7450021568
30,31.0,0,4,3.76376369225
31,32.0,0,4,3.78074359426
32,33.0,0,4,3.79611083734
33,34.0,0,4,3.81001859724
34,35.0,0,4,3.82260526209
35,36.0,0,4,3.83399640613
36,37.0,0,4,3.84430630256
37,38.0,0,4,3.8536371235
38,39.0,0,4,3.86208171987
39,40.0,0,4,3.86972456989
40,41.0,0,4,3.87664131631
41,42.0,0,4,3.88290099619
42,43.0,0,4,3.88856655196
43,44.0,0,4,3.89369385153
44,45.0,0,4,3.89833412853
45,46.0,0,4,3.90253410185
46,47.0,0,4,3.9063350926
47,48.0,0,4,3.90977503632
48,49.0,0,4,3.9128884661
49,50.0,0,4,3.9157060599
50,51.0,0,4,3.91825601403
51,52.0,0,4,3.92056396786
52,53.0,0,4,3.92265263198
53,54.0,0,4,3.92454292005
54,55.0,0,4,3.92625378746
55,56.0,0,4,3.92780195792
56,57.0,0,4,3.9292027934
57,58.0,0,4,3.93047030034
58,59.0,0,4,3.93161729601
59,60.0,0,4,3.93265568615
60,61.0,0,4,3.93359616888
61,62.0,0,4,3.93444778694
62,63.0,0,4,3.93521888995
63,64.0,0,4,3.93591691665
64,65.0,0,4,3.9365484759
65,66.0,0,4,3.9371197301
66,67.0,0,4,3.93763637743
67,68.0,0,4,3.93810357811
