,a,a,a,a,k,k,k,k,b,u,n,dr,dr,dr,dr,dr,ss,ss,ss,ss,ss,ss_0,ss_0,ss_0,ss_0,ss_0,ttss,ttss,ttss,ttss,ttss
,0,1,2,3,0,1,2,3,0,0,0,1,2,3,4,5,1,2,3,4,5,1,2,3,4,5,1,2,3,4,5
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
count,110.0,110.0,110.0,110.0,110.0,110.0,110.0,110.0,110.0,110.0,110.0,110.0,110.0,110.0,110.0,110.0,110.0,110.0,110.0,110.0,110.0,110.0,110.0,110.0,110.0,110.0,110.0,110.0,110.0,110.0,110.0
mean,1.49683175481,0.341515521768,0.428230106659,0.411384832536,1.07296119162,0.279186613987,0.18933496502,0.146719006275,0.140100649889,0.279492175159,2.37989460512,1.85661982652,0.801356078215,0.659532380434,0.415867558697,0.429400647441,1.99592239009,1.68827926255,5.12420525631,3.39422434903,4.53777121755,0.0277544196312,10.68470938,1.12288827895,8.8430745475,1.68833512115,5.05284090909,10.5280681818,25.74,28.928125,41.7940340909
std,0.00175289428287,0.0103537702262,0.0135841807029,0.0133391996401,0.0576245967214,0.0152598986039,0.0100860029409,0.00787494129281,0.000329032195604,0.00713038270638,0.0367901595799,0.00101694693753,0.00170521474969,0.00411124903718,0.000681356127787,0.00185735090395,0.0534196808769,0.00702119341462,0.00528449806314,0.00525882692597,0.00799716773585,0.000708296146827,0.0217589054106,0.00949580234702,0.00808500177202,0.00508194997224,0.0138242460547,0.0550473202308,0.0509316865789,0.0536761413844,0.0579377679165
min,1.49055820425,0.317600850938,0.39811558575,0.381611053187,0.926078266,0.241810278438,0.16188897575,0.12433068325,0.139239139063,0.262327993062,2.27769921794,1.85448010334,0.798164815888,0.651128614548,0.414103258547,0.425598483418,1.86742687652,1.67524324341,5.1146228018,3.38163422441,4.52291001298,0.0260493940577,10.6266327302,1.09982657732,8.82546383202,1.6693906296,5.025,10.35625,25.56875,28.7375,41.675
25%,1.49595826951,0.333997348922,0.419496820015,0.403298872328,1.0384342877,0.270807918047,0.182304610109,0.141189655657,0.139869978297,0.274992465985,2.35829825506,1.85595435501,0.800248011293,0.657152304773,0.415378247286,0.428176084437,1.96043038993,1.68352049403,5.11995802286,3.39044561218,4.53259437631,0.0273072423923,10.6724492329,1.11689558262,8.83867480873,1.68622118822,5.04375,10.5,25.7125,28.9,41.75
50%,1.49664728366,0.34051577025,0.426071015937,0.409446172093,1.07182502297,0.277934905938,0.189554414031,0.146717111281,0.140135559313,0.279585702594,2.38605379397,1.85650693091,0.80119278681,0.659679748679,0.415913926682,0.429301145112,1.99361944005,1.68812559026,5.12391506092,3.39419737769,4.53735408011,0.0277634840316,10.6800145237,1.12243707162,8.84203562319,1.68908659203,5.05625,10.540625,25.74375,28.934375,41.7875
75%,1.49793321761,0.348631815906,0.437810186609,0.419925046719,1.10818763213,0.288688095937,0.196261047922,0.152498284937,0.140318427781,0.283511933719,2.40593044912,1.85733905533,0.802490256344,0.662096575108,0.416401817819,0.43033372442,2.02910965758,1.69295218691,5.12830659147,3.3973780773,4.541300829,0.028153968297,10.6987309894,1.12834183324,8.84790456099,1.69135591453,5.0625,10.56875,25.775,28.9671875,41.825
max,1.50000000312,0.364851168437,0.460606837562,0.446081013312,1.22334232769,0.31230413675,0.212438834875,0.164600557125,0.140793850438,0.29610329375,2.45745964138,1.85927635973,0.805578322424,0.67013299031,0.417575180424,0.43590826224,2.11674340906,1.70481615374,5.14071599995,3.40868643728,4.56265200218,0.0294041661247,10.7422875079,1.14314169635,8.86959121642,1.69778058843,5.08125,10.65,25.84375,29.0375,41.95625
