,a,a,a,a,k,k,k,k,b,u,n,dr,dr,dr,dr,dr,ss,ss,ss,ss,ss,ss_0,ss_0,ss_0,ss_0,ss_0,ttss,ttss,ttss,ttss,ttss
,0,1,2,3,0,1,2,3,0,0,0,1,2,3,4,5,1,2,3,4,5,1,2,3,4,5,1,2,3,4,5
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
count,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0
mean,1.4242642517,0.42444896944,0.597487879731,0.553987820463,1.1230346455,0.449805429123,0.344289520034,0.25666836303,0.129897750064,0.322932852482,1.79577682662,1.88921648955,0.810389291712,0.671505478404,0.427004620938,0.433520478199,2.4861274996,1.69679568133,5.18325302985,3.32308144787,4.62057829651,0.03208445388,10.9644212313,1.10462750545,8.88252861646,1.70288655629,5.4066,9.991,26.0864,29.11005,43.0444
std,0.000528784081621,0.00861135278173,0.0125082180024,0.0120943409794,0.0301948603832,0.0129006424353,0.00960818140313,0.00677571113454,3.65838688081e-05,0.00680236394517,0.000990484037331,0.000122330569489,0.000725074425462,0.00134175781764,0.000285323731998,0.00077656221724,0.0524435284579,0.00237792359397,0.00210772888044,0.00173714025467,0.00441713062696,0.000675843026873,0.00375862985141,0.00319342290565,0.00160597111816,0.00181027438967,0.00252148661237,0.00247088307179,0.00647586613146,0.00640291877802,0.0220582959511
min,1.42319649175,0.41164315193,0.57997046758,0.53583233702,1.06463964929,0.42571692049,0.3265062122,0.24317194703,0.12982599922,0.31318543625,1.7934714932,1.88901124355,0.809135141203,0.668331022534,0.426575135428,0.43249476359,2.41155039704,1.69298169766,5.17824045078,3.31940611146,4.61292434359,0.0311160545876,10.9580986455,1.09976587711,8.88006345249,1.69894852562,5.403,9.987,26.076,29.097,43.018
25%,1.42400602133,0.416119301667,0.586652653282,0.543949774845,1.10386674454,0.441371264165,0.33764608958,0.251703505493,0.129869457095,0.316930657065,1.7953111185,1.88913519335,0.809668088422,0.671078927032,0.426716130893,0.433066332046,2.44033774715,1.69496165771,5.18234853886,3.32199938639,4.61866859817,0.0314881504646,10.9622507785,1.10244990148,8.88125086888,1.70186943718,5.40475,9.989,26.083,29.10575,43.02875
50%,1.42414813761,0.424222538185,0.597122419915,0.552708321065,1.12548803989,0.451558944615,0.344921220585,0.256335932705,0.12990431709,0.322817346565,1.7956054722,1.88919492854,0.810540565079,0.671556741881,0.427041814385,0.433393897935,2.48549923234,1.69627214235,5.18358755424,3.32280220037,4.619887518,0.032072999643,10.9640762909,1.10440629317,8.8826157387,1.70308545994,5.4065,9.991,26.0845,29.1115,43.0425
75%,1.42451128077,0.429897605755,0.604789066542,0.561274563008,1.15367126707,0.461125952395,0.354562994845,0.26393649004,0.129922142212,0.327143302615,1.79657054126,1.8893105906,0.8109027615,0.672492595649,0.427167644092,0.433763563462,2.51787416164,1.69913153792,5.1841099389,3.32468099258,4.62332886911,0.0325027209142,10.966269279,1.10539023423,8.88362499429,1.70394512434,5.409,9.993,26.089,29.1125,43.05025
max,1.42543144278,0.44158181869,0.62018029202,0.57755091701,1.16593358249,0.47051826877,0.35813381075,0.26633290988,0.1299592005,0.33518980074,1.79735258654,1.88945652498,0.811804063283,0.673495392664,0.427596986021,0.435258211231,2.58143101175,1.70141582547,5.18810068207,3.32574009548,4.63073128647,0.0333022989335,10.9737355197,1.1119343699,8.88579732451,1.70564267294,5.412,9.995,26.101,29.123,43.098
