,a,a,a,a,k,k,k,k,b,u,n,dr,dr,dr,dr,dr,ss,ss,ss,ss,ss,ss_0,ss_0,ss_0,ss_0,ss_0,ttss,ttss,ttss,ttss,ttss
,0,1,2,3,0,1,2,3,0,0,0,1,2,3,4,5,1,2,3,4,5,1,2,3,4,5,1,2,3,4,5
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
count,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0
mean,1.4962000566,0.345082360525,0.432258072802,0.415084896831,1.05666927613,0.277763982373,0.187626403031,0.145323125077,0.139978261204,0.281773268227,2.37037055608,1.8569979612,0.801318094527,0.660993952852,0.415835244626,0.429599679064,2.01379156141,1.68919817943,5.12592485743,3.39436423683,4.53900005586,0.0279810916414,10.6895390527,1.119597305,8.84278627215,1.68801199268,5.05916666667,10.5160416667,25.741875,28.9285416667,41.7922916667
std,0.0015069136584,0.00747555336583,0.00999299354457,0.00950412176408,0.0484830263685,0.0151026232699,0.0100686364317,0.00812217978364,0.000269852042224,0.00538551145281,0.0333020223346,0.000834446320477,0.00180914274137,0.00358516955959,0.000786165372448,0.00142216833345,0.0396155970506,0.00694265884118,0.00538728521031,0.00568639649482,0.00681865169778,0.000534895460632,0.019483621831,0.00816900316488,0.00931887269212,0.0041406865963,0.0130000552602,0.0501260086036,0.0543662051944,0.0558699646096,0.0555556603149
min,1.49321353344,0.3312527315,0.412675770125,0.395875841875,0.977678690938,0.242660652187,0.165460674313,0.127340543937,0.139360656625,0.272508116,2.30210157025,1.85497673933,0.798953123927,0.65513465886,0.413889615184,0.426957595113,1.94658179447,1.67074393673,5.11597271689,3.38379307787,4.52524401757,0.0270609286346,10.6480630589,1.09668225117,8.82904666177,1.67933948621,5.03125,10.40625,25.6125,28.80625,41.675
25%,1.49484613961,0.338691497219,0.424784502796,0.407960756813,1.01425035031,0.2714274535,0.181499926141,0.140520742391,0.139815354063,0.277294593156,2.34544569908,1.85675680517,0.799971724539,0.658672647893,0.415304748692,0.428475907581,1.98131488182,1.68484360896,5.12312445766,3.38887244032,4.53425478602,0.0275363489476,10.6793183003,1.11700272217,8.83522000879,1.68530568251,5.05625,10.48125,25.7125,28.90625,41.7578125
50%,1.49601214891,0.344997142437,0.431126446156,0.414491846625,1.05332771319,0.278066051156,0.186701656875,0.145556212406,0.139945633187,0.282593145281,2.37274244909,1.85709897533,0.801111977969,0.660822254492,0.415795199924,0.429623662015,2.0196534701,1.68956734858,5.1253954372,3.39528876639,4.53772855506,0.0280625053312,10.6855605509,1.12038016113,8.84207860979,1.68836114134,5.05625,10.515625,25.74375,28.9375,41.796875
75%,1.49733981444,0.350595018657,0.440269971578,0.423109153219,1.08731626261,0.28825527539,0.193647437063,0.151694085891,0.140057523141,0.285780388969,2.39461939555,1.85750737732,0.802171428986,0.661930446753,0.416388614144,0.430670755602,2.0437544182,1.6934099739,5.12915623707,3.39869319461,4.5450200375,0.0283783979654,10.7030031213,1.12506106266,8.84804667212,1.690881244,5.0671875,10.546875,25.76875,28.9625,41.8296875
max,1.49871528256,0.359448143125,0.450066433812,0.430294338,1.17379931056,0.316974127312,0.211990454188,0.162023659938,0.140631389313,0.290341889312,2.442401492,1.85891534859,0.806319759074,0.671520973453,0.417526787242,0.433235363435,2.08338622541,1.70037883004,5.1423108827,3.40432178092,4.55355888339,0.028832784971,10.728189662,1.13247675069,8.86545256402,1.69624122114,5.0875,10.625,25.85,29.0375,41.94375
