,a,a,a,a,k,k,k,k,b,u,n,dr,dr,dr,dr,dr,ss,ss,ss,ss,ss,ss_0,ss_0,ss_0,ss_0,ss_0,ttss,ttss,ttss,ttss,ttss
,0,1,2,3,0,1,2,3,0,0,0,1,2,3,4,5,1,2,3,4,5,1,2,3,4,5,1,2,3,4,5
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
count,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
mean,1.40074667739,0.48667747011,0.529444156124,0.539132640562,0.909981060887,0.547615786936,0.5487516157,0.608454127272,0.119875595255,0.456133169188,1.63044148849,1.92551139941,0.924407489384,0.783645363697,0.638850747592,0.599440209832,3.81095959616,1.39064540364,7.68867338278,1.95725768828,6.88072034723,0.0453397422141,11.684713446,1.26529401781,8.517777869,1.72959596491,5.9341,9.87332,27.15021,26.54234,44.37692
std,0.0114237717412,0.00971034595737,0.0105615634886,0.0107516134796,0.0275964069146,0.0165988924851,0.0166357087647,0.0184410638212,0.000977638115529,0.0090986944199,1.87257841827e-05,0.00438309064865,0.00024479735188,0.00039499857224,0.00128802911945,0.0016979718554,0.0761790791687,0.000802442591938,0.00673044521658,0.00655465391499,0.0231589244175,0.000904117411022,1.12897242509e-05,2.31957922521e-05,2.34118122633e-05,4.80873491694e-05,0.0780269961052,0.13161037385,0.332685591707,0.326937340551,0.425704304832
min,1.3666411019,0.46383422117,0.50459271517,0.5138375973,0.85802391583,0.51640187052,0.51746872396,0.57371184501,0.11695671848,0.43471797186,1.63039831712,1.91817222956,0.923629710802,0.78235698403,0.634696160701,0.594021837133,3.60387946469,1.3897587201,7.66699112928,1.9499913906,6.80684688021,0.0432130406366,11.6846844992,1.26523936465,8.51771614166,1.7294559607,5.813,9.674,26.624,26.027,43.659
25%,1.39482428683,0.47986159171,0.522029745682,0.531597165127,0.888649239377,0.534770960243,0.535879911215,0.59421483176,0.119368829022,0.449748381717,1.63042805771,1.92212868928,0.924242821539,0.78338036233,0.63800166991,0.598336271614,3.76328503672,1.38985523128,7.68416374198,1.95097956399,6.86597486132,0.0447040187333,11.6847068414,1.26527729336,8.51776000867,1.72956259341,5.87975,9.781,26.91175,26.312,44.05575
50%,1.40189021972,0.486683789355,0.52945615159,0.539114747725,0.908832807645,0.546916069455,0.548041861635,0.607652158955,0.119973319615,0.456143575325,1.63044127503,1.92516718115,0.924446990613,0.783714051587,0.639059181931,0.599706741384,3.81511813778,1.39051714848,7.68976637436,1.95619948753,6.88424023069,0.0453406679496,11.6847132368,1.26529107711,8.51777996631,1.72960027291,5.9295,9.8655,27.133,26.5255,44.347
75%,1.40954685798,0.493646483545,0.537033773343,0.546904245468,0.926710812677,0.557698095528,0.558876941775,0.619678264258,0.120628645907,0.462673301813,1.63045619113,1.92748258613,0.92464848891,0.784024684258,0.640076115298,0.601014046049,3.86081925667,1.39118528588,7.69519019696,1.96160483452,6.9018577682,0.0459883230613,11.6847205316,1.26531091153,8.51779639373,1.72963633438,5.979,9.94375,27.31875,26.71375,44.56325
max,1.42122027733,0.51210785289,0.55710462142,0.56724161906,0.98643440859,0.59357093039,0.59482188565,0.65958193932,0.12162757151,0.4799646258,1.63048751262,1.93853993233,0.924677635797,0.784081299264,0.640294624419,0.601441175711,3.97765693268,1.39319680467,7.69602921348,1.97839806974,6.90841698116,0.047706136126,11.6847436605,1.26534646461,8.51782057752,1.72967071503,6.165,10.257,28.13,27.499,45.654
