,time to half max (min),layers,sd
30,8165.92699328,30,496.391208566
29,7833.72478386,29,496.034897221
28,7646.6882805,28,487.742791923
27,7304.48607109,27,486.809487861
26,7128.25888569,26,476.566260154
25,6774.46926033,25,474.900534878
24,6610.52833814,24,462.749903317
23,6243.64073007,23,459.892755357
22,6093.14601345,22,445.381461567
21,5711.38568684,21,441.35588578
20,5576.48414986,20,424.629246646
19,5178.47502402,19,419.506499099
18,5060.38664745,18,399.704359856
17,4644.80307397,17,393.260508689
16,4544.46685879,16,370.188315795
15,4110.02161383,15,362.58774421
14,4027.98991354,14,335.483766712
13,3573.55427474,13,326.458265657
12,3510.18491835,12,296.081439687
11,3035.6556196,11,285.630468766
10,2989.48607109,10,251.519255098
9,2495.43227666,9,238.853641245
8,2465.38424592,8,201.15181372
7,1952.48799232,7,186.36502431
6,1935.38424592,6,146.839899556
5,1408.60710855,5,131.498257942
4,1396.753122,4,92.0854579098
3,862.45196926,3,77.7175224968
2,834.860710855,2,41.5857597167
1,319.145052834,1,29.6685840084
0,175.0,0,0.0
