,score,a,a,a,a,k,k,k,k,b,b,u,n
,0,0,1,2,3,0,1,2,3,0,1,0,0
,,,,,,,,,,,,,
0,14.08599527,0.941706146,1.169931716,0.60778802,0.442601272,0.574609655,0.787985337,0.470899497,0.755293467,0.094482335,0.082922012,0.918325532,1.289073424
1,14.08599527,0.941706146,1.169931716,0.60778802,0.442601272,0.574609655,0.787985337,0.470899497,0.755293467,0.094482335,0.082922012,0.918325532,1.289073424
2,10.01905587,0.837323059,0.561751331,1.211640242,1.036700769,0.629766611,0.866557847,0.738643166,1.256363506,0.089705766,0.088966111,0.870981621,1.335073648
3,10.01905587,0.837323059,0.561751331,1.211640242,1.036700769,0.629766611,0.866557847,0.738643166,1.256363506,0.089705766,0.088966111,0.870981621,1.335073648
4,9.882464413,1.183644132,0.602583773,0.602469143,0.581421764,0.526574102,0.422018085,0.586102572,0.707645245,0.099453931,0.090116166,0.89173999,1.31188085
5,9.882464413,1.183644132,0.602583773,0.602469143,0.581421764,0.526574102,0.422018085,0.586102572,0.707645245,0.099453931,0.090116166,0.89173999,1.31188085
6,6.009059348,1.211260312,0.820420854,0.734523911,0.972815142,0.661826808,0.936882704,0.910910922,0.859680713,0.090959642,0.095893241,0.860862797,1.214410882
7,6.009059348,1.211260312,0.820420854,0.734523911,0.972815142,0.661826808,0.936882704,0.910910922,0.859680713,0.090959642,0.095893241,0.860862797,1.214410882
8,5.838400615,1.124912033,1.104710664,0.684035172,0.55447336,0.729198675,1.490765419,1.40199032,1.486011712,0.087755095,0.09086693,0.3924777,1.246408139
9,5.838400615,1.124912033,1.104710664,0.684035172,0.55447336,0.729198675,1.490765419,1.40199032,1.486011712,0.087755095,0.09086693,0.3924777,1.246408139
10,4.112413989,0.974858612,0.419325068,0.748311305,0.829709182,1.204894406,0.949438794,0.906241946,1.129059342,0.098606419,0.080843005,0.301987372,1.243059623
11,4.112413989,0.974858612,0.419325068,0.748311305,0.829709182,1.204894406,0.949438794,0.906241946,1.129059342,0.098606419,0.080843005,0.301987372,1.243059623
12,2.651678447,1.147364396,1.094834752,1.310705781,0.914160233,0.770705053,1.145849077,0.859974645,0.968589295,0.109218533,0.10533134,0.606925813,1.24346646
13,2.651678447,1.147364396,1.094834752,1.310705781,0.914160233,0.770705053,1.145849077,0.859974645,0.968589295,0.109218533,0.10533134,0.606925813,1.24346646
14,1.980445141,1.137125087,1.018237442,1.396723266,1.259198621,0.495488553,0.569844243,0.717255573,1.058451488,0.100226086,0.099169701,0.79216539,1.239774264
15,1.980445141,1.137125087,1.018237442,1.396723266,1.259198621,0.495488553,0.569844243,0.717255573,1.058451488,0.100226086,0.099169701,0.79216539,1.239774264
16,1.834902188,1.003658531,0.797322875,1.28865595,1.098262378,0.483895841,0.530980355,0.6330793,0.453016929,0.099054583,0.089835569,0.710960211,1.310909579
17,1.834902188,1.003658531,0.797322875,1.28865595,1.098262378,0.483895841,0.530980355,0.6330793,0.453016929,0.099054583,0.089835569,0.710960211,1.310909579
18,1.672876181,1.008335412,0.928688276,1.090635719,1.033823689,0.454238723,0.677715452,0.675353584,0.667794198,0.100095404,0.092315336,0.612117055,1.316381812
