,score,a,a,a,a,k,k,k,k,b,b,u,n
,0,0,1,2,3,0,1,2,3,0,1,0,0
,,,,,,,,,,,,,
0,65.71361151,1.37016125,1.41834941,1.287385885,1.397256423,0.758602308,0.425653879,0.314223931,0.420663301,0.068722478,0.108170897,0.469738438,1.443753579
1,65.71361151,1.37016125,1.41834941,1.287385885,1.397256423,0.758602308,0.425653879,0.314223931,0.420663301,0.068722478,0.108170897,0.469738438,1.443753579
2,30.88879372,0.998283636,0.474879005,1.280482977,0.748402381,0.715513074,0.327438354,1.20670016,0.595792035,0.10985635,0.1220193,0.178798913,1.493529053
3,30.88879372,0.998283636,0.474879005,1.280482977,0.748402381,0.715513074,0.327438354,1.20670016,0.595792035,0.10985635,0.1220193,0.178798913,1.493529053
4,20.89262302,0.521074441,0.685108333,1.460631283,0.443336527,1.496750456,1.367711552,1.386394369,0.8517106,0.060305371,0.056448929,0.358257752,1.480117079
5,20.89262302,0.521074441,0.685108333,1.460631283,0.443336527,1.496750456,1.367711552,1.386394369,0.8517106,0.060305371,0.056448929,0.358257752,1.480117079
6,18.52141871,1.134779585,0.733855263,1.125165335,1.108386166,1.455877338,1.42689784,0.632429338,1.062531374,0.092762869,0.126104413,0.403330649,1.011170003
7,18.52141871,1.134779585,0.733855263,1.125165335,1.108386166,1.455877338,1.42689784,0.632429338,1.062531374,0.092762869,0.126104413,0.403330649,1.011170003
8,15.53654356,1.157578058,0.526773157,0.518379744,1.134206588,1.36766178,1.23075141,0.581161143,0.876405085,0.092857791,0.119026624,0.324423875,1.169995268
9,15.53654356,1.157578058,0.526773157,0.518379744,1.134206588,1.36766178,1.23075141,0.581161143,0.876405085,0.092857791,0.119026624,0.324423875,1.169995268
10,8.64106103,0.934988066,0.561623715,1.17364007,1.439879151,0.82465359,0.981717296,1.118005309,0.83814719,0.084616383,0.087743704,0.393596657,1.295768431
11,8.64106103,0.934988066,0.561623715,1.17364007,1.439879151,0.82465359,0.981717296,1.118005309,0.83814719,0.084616383,0.087743704,0.393596657,1.295768431
12,8.601364191,0.71784473,0.259883549,0.362095606,1.062922602,0.768684149,1.159329545,0.846930563,1.058952642,0.079553867,0.065284928,0.241824957,1.238733085
13,8.601364191,0.71784473,0.259883549,0.362095606,1.062922602,0.768684149,1.159329545,0.846930563,1.058952642,0.079553867,0.065284928,0.241824957,1.238733085
14,7.256676515,1.006705853,0.631288214,1.114881135,0.898046974,0.550772607,0.37396019,0.43723386,0.889502898,0.108718129,0.079770023,0.534090831,1.42193168
15,7.256676515,1.006705853,0.631288214,1.114881135,0.898046974,0.550772607,0.37396019,0.43723386,0.889502898,0.108718129,0.079770023,0.534090831,1.42193168
16,6.435896806,0.871268975,0.545666472,1.26282938,1.304544481,0.582466609,0.781160939,1.446668538,0.948058733,0.084281702,0.0880017,0.486190273,1.160240111
17,6.435896806,0.871268975,0.545666472,1.26282938,1.304544481,0.582466609,0.781160939,1.446668538,0.948058733,0.084281702,0.0880017,0.486190273,1.160240111
18,4.52429052,0.921298596,0.4254766,1.093362603,0.886977052,0.67865951,0.482833714,1.443005176,0.910248295,0.09149979,0.086187482,0.498582523,1.182673518
