,score,a,a,a,a,k,k,k,k,b,u,u,u,u,n
,0,0,1,2,3,0,1,2,3,0,0,1,2,3,0
,,,,,,,,,,,,,,,
0,0.417395233,1.424941596,0.428436083,0.599790319,0.555031563,1.048020299,0.419437873,0.318956498,0.236282021,0.129999999,0.325247666,0.325247666,0.325247666,0.325247666,1.8
1,0.418742855,1.426717054,0.469664757,0.630782497,0.590745421,0.933719425,0.392082981,0.276313663,0.20918939,0.1299984,0.34674558,0.34674558,0.34674558,0.34674558,1.797456646
2,0.424380246,1.406569601,0.458571175,0.654190147,0.585506258,0.939973133,0.393326098,0.313277544,0.218316036,0.128765533,0.343694632,0.343694632,0.343694632,0.343694632,1.769323324
3,0.417395141,1.424941416,0.415601917,0.581991362,0.538393723,1.106659978,0.442750555,0.336898568,0.249476027,0.13,0.315545399,0.315545399,0.315545399,0.315545399,1.80000001
4,0.417398805,1.425279415,0.35060911,0.491967607,0.455521992,1.499992089,0.597947786,0.45611203,0.338295415,0.13000001,0.266682967,0.266682967,0.266682967,0.266682967,1.8
5,0.417395179,1.424932072,0.417613755,0.584787494,0.54102439,1.097097536,0.438959153,0.333931174,0.247303683,0.13,0.317076587,0.317076587,0.317076587,0.317076587,1.8
6,0.417395087,1.424906437,0.382302856,0.535371406,0.495223392,1.286221,0.51466071,0.391644821,0.289968357,0.13000001,0.290247963,0.290247963,0.290247963,0.290247963,1.8
7,0.42340388,1.42914588,0.55549447,0.799123742,0.754506136,0.694261547,0.282802259,0.220151897,0.172596355,0.129998036,0.422195624,0.422195624,0.422195624,0.422195624,1.761639289
8,0.428136606,1.427304861,0.443195983,0.652291638,0.556439681,0.984578761,0.388125687,0.336943855,0.219187256,0.12975505,0.339077399,0.339077399,0.339077399,0.339077399,1.775451206
9,0.419064015,1.425222464,0.34563956,0.507901845,0.475206359,1.464692567,0.554568823,0.460256542,0.349964322,0.129997123,0.271165975,0.271165975,0.271165975,0.271165975,1.798437222
10,0.420052091,1.430809783,0.39563619,0.559926024,0.5260033,1.210836488,0.487651555,0.381583193,0.289565103,0.13,0.301109017,0.301109017,0.301109017,0.301109017,1.784877629
11,0.417759046,1.425569467,0.399157196,0.554119219,0.522760015,1.194576614,0.481248027,0.359795152,0.278612853,0.130000001,0.302075544,0.302075544,0.302075544,0.302075544,1.8
12,0.419855234,1.416299298,0.445227333,0.635670112,0.565619581,0.96724074,0.392590772,0.317790685,0.217541842,0.13000001,0.338147728,0.338147728,0.338147728,0.338147728,1.796394806
13,0.417395882,1.424716501,0.40274151,0.563780629,0.521295152,1.171186958,0.469092995,0.356901057,0.264002972,0.13000001,0.305649251,0.305649251,0.305649251,0.305649251,1.8
14,0.417395182,1.424914086,0.402678446,0.563863336,0.521739746,1.171350132,0.468666627,0.356569201,0.26415773,0.13,0.30572752,0.30572752,0.30572752,0.30572752,1.8
15,0.417398909,1.425059802,0.370032345,0.518874676,0.481045634,1.361631791,0.543490101,0.414153,0.308135106,0.13000001,0.281311812,0.281311812,0.281311812,0.281311812,1.8
16,0.423573746,1.409020256,0.376616452,0.551939612,0.529195718,1.246541779,0.488050813,0.402421548,0.320560555,0.128924708,0.295576932,0.295576932,0.295576932,0.295576932,1.777415404
17,0.417395549,1.425101509,0.472560032,0.66151382,0.612286818,0.878699455,0.351516913,0.267153369,0.19801055,0.13000001,0.358783071,0.358783071,0.358783071,0.358783071,1.8
18,0.417395186,1.424952021,0.401794692,0.562625932,0.52053723,1.17613633,0.470579571,0.358027978,0.265189882,0.13000001,0.305049547,0.305049547,0.305049547,0.305049547,1.8
19,0.41739658,1.425159711,0.398127462,0.557284609,0.515652358,1.196815085,0.47869478,0.363650852,0.269320587,0.13,0.302253399,0.302253399,0.302253399,0.302253399,1.80000001
20,0.419077348,1.42433539,0.379532713,0.508861139,0.458520157,1.366210102,0.580986776,0.419397211,0.295048321,0.13000001,0.278120239,0.278120239,0.278120239,0.278120239,1.8
21,0.418520698,1.423350421,0.364934106,0.524357473,0.498632789,1.357125685,0.524360155,0.408398809,0.318812205,0.13,0.283218525,0.283218525,0.283218525,0.283218525,1.799394269
22,0.41739597,1.424908611,0.425933917,0.596352588,0.551902301,1.059012215,0.42384406,0.322388794,0.238932186,0.130000003,0.323342015,0.323342015,0.323342015,0.323342015,1.8
23,0.417439644,1.425241505,0.439036573,0.610788687,0.566988304,1.008022514,0.406236675,0.305636495,0.227223563,0.1299906,0.332242691,0.332242691,0.332242691,0.332242691,1.8
24,0.417395326,1.424978509,0.370584348,0.518913383,0.480095325,1.360514797,0.544338857,0.414108175,0.306699504,0.13000001,0.28135636,0.28135636,0.28135636,0.28135636,1.8
25,0.41740143,1.425453671,0.450743879,0.632746738,0.586491428,0.953745258,0.379773035,0.289840654,0.215595457,0.13000001,0.34300036,0.34300036,0.34300036,0.34300036,1.8
26,0.417420632,1.42420721,0.376845083,0.525999124,0.4842114,1.327233055,0.534328881,0.404580044,0.296271699,0.129999821,0.285203143,0.285203143,0.285203143,0.285203143,1.8
