,Layer 0,Layer 1,Layer 2,Layer 3,Layer 4
2.5,61.9774263705,17695.9688106,1806.94120831,13502.3716925,2717.18731891
5.0,123.352029446,17694.3521579,1806.94204664,13502.3716833,2717.18731892
7.5,184.129673044,17690.8113214,1806.94498608,13502.3716318,2717.18731899
10.0,244.316163047,17684.9181756,1806.95180107,13502.3714668,2717.18731933
12.5,303.91724918,17676.3649751,1806.96461441,13502.3710719,2717.18732035
15.0,362.938626108,17664.9311406,1806.98571901,13502.3702716,2717.18732288
17.5,421.38593163,17650.4654353,1807.01767263,13502.3688379,2717.18732836
20.0,479.264749499,17632.8717703,1807.06313375,13502.36649,2717.18733881
22.5,536.580612021,17612.1000161,1807.12483718,13502.3628628,2717.18735701
25.0,593.338995079,17588.1367558,1807.20561812,13502.3575324,2717.1873866
27.5,649.545319848,17560.9977876,1807.30837116,13502.3500335,2717.18743294
30.0,705.20495284,17530.7235535,1807.43596551,13502.3398246,2717.18750272
32.5,760.323208107,17497.3741471,1807.59129759,13502.326272,2717.18760352
35.0,814.905359864,17461.0244429,1807.77724998,13502.3086872,2717.18774412
37.5,868.956624111,17421.7614556,1807.99668313,13502.2863375,2717.18793606
40.0,922.482162574,17379.6801874,1808.25241766,13502.258419,2717.18819339
42.5,975.487084436,17334.8828409,1808.54723454,13502.2240534,2717.18853146
45.0,1027.97644655,17287.4762242,1808.88387016,13502.1823057,2717.18896718
47.5,1079.95527046,17237.5693348,1809.26500229,13502.1321914,2717.18952038
50.0,1131.4285292,17185.2730619,1809.69324492,13502.0726652,2717.19021431
52.5,1182.40113845,17130.6973141,1810.17114716,13502.0026261,2717.19107441
55.0,1232.87796373,17073.9529907,1810.70122952,13501.9209169,2717.19212863
57.5,1282.86382039,17015.1487319,1811.28595817,13501.826328,2717.1934074
60.0,1332.36348005,16954.3916428,1811.92773875,13501.7176135,2717.19494386
62.5,1381.38168021,16891.7861465,1812.62885998,13501.5934805,2717.19677533
65.0,1429.92310389,16827.4339472,1813.39152938,13501.4525935,2717.19894227
67.5,1477.99238814,16761.4341748,1814.21787622,13501.2935567,2717.20148859
