Column1,time,btime,atime,events,conc,FL1.Amean,FL1.Amedian,FL1.Asd,file,strain,treatment
E06,34.1285,1110.926,24.17,3341,127.8215625,18301.9569,17942,4777.320082,E06,6059,0.000
E12,39.31833333,1116.115833,35.969,3093,78.96349247,1997.480763,1922,825.0932983,E12,6325,0.000
F06,44.9165,1121.714,25.556,3062,110.6253839,13743.15121,13395,4767.364054,F06,6326,0.000
F12,51.14616667,1127.943667,38.253,1268,31.59888357,2600.291009,2464,1278.62105,F12,6327,0.000
E05,33.3555,1110.153,21.995,3361,141.5873283,18044.82178,17728,4625.213899,E05,6059,0.006
E11,38.355,1115.1525,33.228,3371,93.36656973,1970.962919,1922,758.2020847,E11,6325,0.006
F05,44.03783333,1120.835333,28.049,3100,102.2663544,13790.21935,13415,4814.313021,F05,6326,0.006
F11,50.06783333,1126.865333,41.31,1512,34.03029416,2499.949735,2365.5,1194.648577,F11,6327,0.006
E04,32.50833333,1109.305833,26.484,3434,120.2886367,17808.09552,17504.5,4641.406572,E04,6059,0.012
E10,37.50483333,1114.302333,26.114,3304,117.48391,2005.811138,1932,838.922321,E10,6325,0.012
F04,43.04166667,1119.839167,34.676,3200,85.03853309,13691.27156,13394,4658.432868,F04,6326,0.012
F10,49.01866667,1125.816167,39.83,2404,55.82648275,2578.396007,2424,1069.740899,F10,6327,0.012
E03,31.83033333,1108.627833,16.088,3739,217.8269735,19383.39743,18933,4865.390074,E03,6059,0.024
E09,36.63533333,1113.432833,27.272,3240,110.1104503,2036.892284,1958,891.0242129,E09,6325,0.024
F03,42.09283333,1118.890333,32.174,3173,91.2174788,13655.66278,13350,4813.475034,F03,6326,0.024
F09,47.8765,1124.674,45.406,2514,50.94328153,2647.932776,2455.5,1433.950208,F09,6327,0.024
E02,31.097,1107.8945,19.674,3304,154.9209922,18018.02361,17785,4703.022039,E02,6059,0.049
E08,35.78083333,1112.578333,27.779,3336,110.4745505,2025.386391,1964,859.6392865,E08,6325,0.049
F02,41.21166667,1118.009167,28.463,3086,100.3838397,13693.7278,13425,4604.909015,F02,6326,0.049
F08,46.85183333,1123.649333,37.531,2965,74.03615661,2618.684317,2469,1319.340839,F08,6327,0.049
E01,30.3405,1107.138,20.095,3366,154.6022414,18380.90048,18230.5,4947.272388,E01,6059,0.098
E07,34.95016667,1111.747667,24.913,3331,123.2653665,2123.193035,1955,1632.899451,E07,6325,0.098
F01,40.34983333,1117.147333,26.68,3190,110.9063728,13658.25016,13297.5,4769.909034,F01,6326,0.098
F07,45.74166667,1122.539167,43.033,2978,63.92341211,2969.426797,2493,2447.670763,F07,6327,0.098
A12,5.588,1082.3855,5.787,3046,497.7937571,19447.51248,19138.5,4903.350099,A12,6059,0.195
B12,12.40116667,1089.198667,12.304,2983,225.5065014,2105.864566,2043,716.5953131,B12,6325,0.195
C12,20.31083333,1097.108333,22.112,3183,132.8685924,13409.04555,13011,4707.71562,C12,6326,0.195
D12,29.47383333,1106.271333,26.62,3135,108.9828269,2640.90622,2450,1352.071741,D12,6327,0.195
A11,5.076833333,1081.874333,6.515,3112,444.6984853,17758.58837,17509,5199.719522,A11,6059,0.391
B11,11.78783333,1088.585333,12.572,2879,210.6996487,2237.879819,2143,962.9546823,B11,6325,0.391
