Column1,time,btime,atime,events,conc,FL1.Amean,FL1.Amedian,FL1.Asd,file,strain,treatment,strains
A01,0,1041.454,8.393,2332,488.4792627,19610.59863,19421.5,4588.182312,A01,6059,0,6059
B01,6.8845,1048.3385,10.202,2552,440.227704,2000.691614,1934,799.1747278,B01,6325,0,6325
C01,14.7455,1056.1995,14.321,2590,313.8633059,15179.83166,14777.5,5206.641231,C01,6326,0,6326
D01,23.51516667,1064.969167,21.388,2522,205.961617,2798.998414,2572.5,1494.2184,D01,6327,0,6327
A11,5.691333333,1047.145333,10.483,2484,416.1501089,20416.40056,20296,4799.620592,A11,6059,0.006,6059
B11,13.371,1054.825,16.661,2651,282.3516881,2078.194266,1985,1270.320158,B11,6325,0.006,6325
C11,22.00416667,1063.458167,22.121,2667,211.9357915,15541.90476,15277,5298.567483,C11,6326,0.006,6326
D11,32.14916667,1073.603167,40.938,2561,109.6506251,2771.799688,2571,1349.638733,D11,6327,0.006,6327
A12,6.273,1047.727,9.922,2376,426.7241379,20897.45455,20787,5048.506711,A12,6059,0.012,6059
B12,14.056,1055.51,14.102,2476,308.8051883,2071.048869,2007,899.4668017,B12,6325,0.012,6325
C12,22.77716667,1064.231167,17.753,2453,243.4739454,15655.92091,15271,5344.952901,C12,6326,0.012,6326
D12,33.245,1074.699,31.03,2211,124.3811881,2821.664858,2637,1434.608913,D12,6327,0.012,6327
E01,34.19516667,1075.649167,18.284,2763,265.264977,20674.34383,20556,5060.320418,E01,6059,0.024,6059
E07,39.55666667,1081.010667,33.4,2671,140.3868391,2052.954699,1975,1018.283599,E07,6325,0.024,6325
F01,45.78116667,1087.235167,30.619,1977,113.4902411,14485.50885,14089,4940.194309,F01,6326,0.024,6326
F07,50.94433333,1092.398333,25.659,1828,124.9145825,2751.928337,2569,1530.61739,F07,6327,0.024,6327
E02,34.91233333,1076.366333,30.825,2753,155.9773371,20163.12895,19951,4981.908992,E02,6059,0.049,6059
E08,40.525,1081.979,33.636,2594,136.4042699,2043.136854,1975,1105.667481,E08,6325,0.049,6325
F02,46.699,1088.153,28.846,1936,117.276472,14368.66839,13919.5,4888.671667,F02,6326,0.049,6326
F08,51.776,1093.23,28.876,1744,106.347948,2780.196674,2623,1357.763667,F08,6327,0.049,6327
E03,35.8385,1077.2925,31.013,2826,160.1314597,19780.90269,19569,4896.836319,E03,6059,0.098,6059
E09,41.50983333,1082.963833,44.587,2525,99.62517262,2047.379802,2006,841.733176,E09,6325,0.098,6325
F03,47.59516667,1089.049167,24.039,2071,151.0355893,14268.75905,13711,4848.62087,F03,6326,0.098,6326
F09,52.66216667,1094.116167,27.942,1721,108.6901604,2770.361999,2597,1482.064055,F09,6327,0.098,6327
E04,36.76833333,1078.222333,26.116,3067,206.4068914,19818.90349,19566,4957.832401,E04,6059,0.195,6059
E10,42.65116667,1084.105167,41.262,2465,105.0859019,2097.918864,2036,948.8962479,E10,6325,0.195,6325
F04,48.38716667,1089.841167,24.135,2027,149.0112475,13946.91515,13365,4726.748273,F04,6326,0.195,6326
F10,53.534,1094.988,24.561,1680,121.4662714,2800.40119,2664.5,1143.599696,F10,6327,0.195,6327
E05,37.6,1079.054,32.043,2776,151.3136379,18465.0688,18284.5,5101.849644,E05,6059,0.391,6059
E11,43.7445,1085.1985,45.04,2359,91.78274064,2153.07376,2091,966.0136702,E11,6325,0.391,6325
F05,49.19933333,1090.653333,28.519,1892,116.1876689,13845.77431,13368.5,4684.020302,F05,6326,0.391,6326
F11,54.35766667,1095.811667,35.814,1709,83.85260782,2928.019895,2783,1225.557842,F11,6327,0.391,6327
E06,38.54283333,1079.996833,35.443,2803,138.3036463,15872.62112,15607,5149.47593,E06,6059,0.781,6059
E12,44.8995,1086.3535,27.146,2053,133.0611187,2261.14905,2185,783.0576423,E12,6325,0.781,6325
F06,50.08583333,1091.539833,26.941,1923,125.5959767,13078.36141,12622,4618.218016,F06,6326,0.781,6326
F12,55.35733333,1096.811333,62.199,1821,51.60833215,3353.403624,3099,1560.640773,F12,6327,0.781,6327
A02,0.549833333,1042.003833,9.641,2425,443.8952956,11162.88701,10646,4561.524046,A02,6059,1.563,6059
