,time,au,layer
0,955.3248337,2988.526316,1
1,835.7663337,3016.38652,1
2,776.5336667,3173.730217,1
3,714.0488337,3216.865893,1
4,896.8099997,3242.507778,1
5,592.6054997,3424.88225,1
6,653.1324997,3540.723695,1
7,534.8476667,4040.010469,1
8,475.9128337,4666.964017,1
9,416.6391667,5396.991833,1
10,355.2361667,6449.73609,1
11,297.5509997,8572.92662,1
12,238.6716667,11111.87672,1
13,177.735,13664.2762,1
14,1.0,16134.09281,1
15,58.947,16150.72015,1
16,121.0041667,17009.77831,1
17,1477.892667,2947.987106,1
18,1410.9935,3128.147629,1
19,1775.638834,3151.660667,1
20,1714.515667,3214.338308,1
21,1004.904167,3237.379219,1
22,1599.720834,3424.210019,1
23,1298.738167,3435.145359,1
0,1406.604167,8331.7019,2
1,892.3368333,6988.115992,2
2,1.0,2434.974504,2
3,54.68766667,2415.427131,2
4,116.5646667,2205.264605,2
5,173.1871667,2267.910534,2
6,234.147,2285.271582,2
7,292.9811667,2513.473684,2
8,350.6185,2511.479062,2
9,412.0883333,2832.478284,2
10,772.0388333,5605.875291,2
11,471.4881667,3004.131673,2
12,530.3148333,3318.437195,2
13,588.0108333,3896.26235,2
14,648.6096667,4475.98621,2
15,709.4625,4866.51526,2
16,831.1988333,6145.973721,2
17,950.7786667,7255.270923,2
18,1000.994667,7812.806151,2
19,1294.230167,8952.684572,2
20,1473.35,7513.20625,2
21,1595.419833,8154.160858,2
22,1709.996333,8185.642962,2
23,1771.049333,8335.083973,2
0,1.0,11798.93862,3
1,47.126,12668.83655,3
2,108.8171667,13513.99108,3
3,165.3201667,13870.94771,3
4,226.3221667,15025.10269,3
5,285.0685,14709.30619,3
6,342.6601667,14187.10962,3
7,404.2133333,13945.51989,3
8,463.7415,12897.99069,3
9,522.4465,12057.46354,3
10,580.0665,11078.86314,3
11,640.7528333,10850.28413,3
12,701.5261667,9790.087365,3
13,764.194,9068.977185,3
14,823.2738333,8261.427158,3
15,884.509,8060.804064,3
16,942.8768333,7219.787653,3
17,993.6746667,7063.113333,3
18,1286.357333,6288.009113,3
19,1398.852667,6070.226092,3
20,1465.452,5649.507153,3
21,1587.82,5869.669248,3
22,1702.1215,6103.047294,3
23,1763.126833,6012.926969,3
24,1763.126833,6012.926969,3
0,1366.233333,6370.63488,4
1,851.7513333,4013.726079,4
2,1.0,2610.941839,4
3,14.71833333,3029.5935,4
4,76.20483333,2839.080042,4
5,132.5261667,2851.570678,4
6,193.5345,2896.519608,4
7,252.2061667,2918.954292,4
8,309.7421667,2710.655172,4
9,371.379,2837.181769,4
10,731.4098333,3529.879108,4
11,431.0626667,2886.92811,4
12,489.677,2898.17737,4
13,547.2215,2597.296976,4
14,607.9951667,3093.298722,4
15,668.6383333,2968.970715,4
16,790.4048333,3568.232349,4
17,910.0881667,4261.621081,4
18,961.5773333,4938.524513,4
19,1253.589833,6441.146437,4
20,1432.6295,6101.239661,4
21,1555.3605,6964.068876,4
22,1669.318833,6723.599595,4
23,1730.228833,6573.616822,4
