,index,score,a,a,a,a,k,k,k,k,b,b,u,u,u,u,n
,,0,0,1,2,3,0,1,2,3,0,1,0,1,2,3,0
,,,,,,,,,,,,,,,,,
0,383,0.439753453806,1.42274233924,0.439972414074,0.641064615868,0.58594304854,1.25388772046,0.611300206771,0.479867265414,0.351018848806,0.128561595913,0.119593689692,0.315195121118,0.315195121118,0.315195121118,0.315195121118,1.63045
1,175,0.440149895115,1.42575656475,0.34184868481,0.491168688093,0.459511323026,1.90802589808,0.943802156041,0.722510587829,0.547732255921,0.128797359819,0.306667761597,0.243160440667,0.243160440667,0.243160440667,0.243160440667,1.63045001
2,551,0.439752202682,1.42286239615,0.481180987487,0.700613629149,0.640319038148,1.08424283033,0.529208541101,0.415376262256,0.303804279445,0.128575143439,0.274042772814,0.34444089253,0.34444089253,0.34444089253,0.34444089253,1.63045001
3,489,0.439752294003,1.42255626681,0.358338761527,0.522357693765,0.47734202768,1.75066079285,0.85383611887,0.671826442728,0.491492657338,0.128565069254,0.513200218087,0.256665234076,0.256665234076,0.256665234076,0.256665234076,1.63045
4,369,0.439773276291,1.42594006531,0.333636122432,0.483826446301,0.44210417168,1.98537298378,0.972184904883,0.758548376912,0.553689839718,0.128747863851,0.538950184566,0.238037944448,0.238037944448,0.238037944448,0.238037944448,1.63045001
5,505,0.439755509571,1.42195185217,0.665485074234,0.970532419366,0.887081659094,0.637368981344,0.310568299926,0.244376619243,0.178856882381,0.128519292215,0.348095792759,0.477012106888,0.477012106888,0.477012106888,0.477012106888,1.63045001
6,85,0.44092794579,1.41293017108,0.417759771069,0.629778475321,0.575324714256,1.31837046854,0.622707826352,0.519137951391,0.38808743583,0.128252017132,0.30597570598,0.305412339522,0.305412339522,0.305412339522,0.305412339522,1.63043241741
7,831,0.439752177748,1.42289231574,0.445849737301,0.649114065785,0.593266179125,1.22793690661,0.599389247619,0.470373786817,0.344046826768,0.12857675448,0.754001561897,0.319134116094,0.319134116094,0.319134116094,0.319134116094,1.63045001
8,435,0.439773979841,1.42358224703,0.35190397871,0.514885670366,0.472446060769,1.79658564169,0.868637183404,0.685412555411,0.505809397604,0.128545780786,0.689452663139,0.253126274286,0.253126274286,0.253126274286,0.253126274286,1.63045
9,447,0.43975217384,1.42285530182,0.436216220749,0.635135437318,0.58047283564,1.27232209628,0.621050343151,0.487468897199,0.356531438372,0.128575839081,0.564487583043,0.312244701603,0.312244701603,0.312244701603,0.312244701603,1.63045001
10,365,0.439757311054,1.4226480008,0.376779234767,0.550452851991,0.504092167981,1.60888509,0.781471941081,0.616298677715,0.4529516854,0.12854080674,0.574352693832,0.270486278314,0.270486278314,0.270486278314,0.270486278314,1.63045001
11,93,0.440476545178,1.43050349607,0.426061023142,0.623644596567,0.571363971742,1.32847729047,0.63993255206,0.502634809177,0.369572577993,0.129055471173,0.187545292696,0.304443082062,0.304443082062,0.304443082062,0.304443082062,1.63044876704
12,111,0.44102479613,1.400944697,0.346954214336,0.518873577801,0.47245079266,1.74841240088,0.83845857912,0.693927821401,0.496229778531,0.127216381594,0.320757482694,0.25418457041,0.25418457041,0.25418457041,0.25418457041,1.63045
13,361,0.439757331351,1.42343881324,0.384094260331,0.557476220189,0.509148843569,1.57268710409,0.771577828483,0.602819747579,0.44026517122,0.128652821599,0.332147885648,0.274078897393,0.274078897393,0.274078897393,0.274078897393,1.63045
14,393,0.439766696197,1.42124281981,0.335764141199,0.489694620825,0.449220368904,1.94032104681,0.943826783337,0.74155593483,0.546816155186,0.128445284638,0.183682766455,0.241000226062,0.241000226062,0.241000226062,0.241000226062,1.63045001
15,469,0.439754098499,1.42383033573,0.47551037482,0.691991593626,0.632746081196,1.10666585125,0.539919996243,0.423272384372,0.309713260702,0.128615683732,0.129061392833,0.340319473278,0.340319473278,0.340319473278,0.340319473278,1.63045
