Column1,time,btime,atime,events,conc,FL1.Amean,FL1.Amedian,FL1.Asd,file,strain,treatment,strains
A01,0,496.5073333,3.156,2302,0,15816.37446,15479,4561.758637,A01,6059,0.000,6059
B01,7.539666667,504.047,5.038,2687,0,1872.638258,1793,1157.54206,B01,6325,0.000,6325
C01,15.85283333,512.3601667,7.79,2910,0,13055.1732,12513,4589.38253,C01,6326,0.000,6326
D01,24.64916667,521.1565,9.861,3035,0,2502.611203,2353,1259.149253,D01,6327,0.000,6327
A11,6.194833333,502.7021667,4.93,2513,0.0061,18164.17031,17981,4825.831095,A11,6059,0.006,6059
B11,14.386,510.8933333,7.786,2810,0.0061,1953.153025,1833,1439.452951,B11,6325,0.006,6325
C11,23.039,519.5463333,10.052,3115,0.0061,12922.43114,12370,4528.796551,C11,6326,0.006,6326
D11,32.72033333,529.2276667,11.927,2868,0.0061,2627.152022,2461,1524.89788,D11,6327,0.006,6327
A12,6.833166667,503.3405,6.033,2588,0.0122,18418.4602,18007.5,4852.485252,A12,6059,0.012,6059
B12,15.11616667,511.6235,7.815,2932,0.0122,1902.125512,1856,740.8271337,B12,6325,0.012,6325
C12,23.8005,520.3078333,9.937,3009,0.0122,12698.81389,12133,4527.759816,C12,6326,0.012,6326
D12,33.54983333,530.0571667,10.505,2873,0.0122,2514.956143,2405,1177.84769,D12,6327,0.012,6327
E01,34.365,530.8723333,9.464,3121,0.0244,17503.19032,17361,5054.750723,E01,6059,0.024,6059
E07,39.18666667,535.694,12.898,2820,0.0244,2100.538298,2014,1044.581012,E07,6325,0.024,6325
F01,44.20633333,540.7136667,11.84,2638,0.0244,12514.40713,11980,4405.645105,F01,6326,0.024,6326
F07,49.40766667,545.915,14.259,2618,0.0244,2632.44194,2522,1264.857418,F07,6327,0.024,6327
E02,35.12833333,531.6356667,10.775,3062,0.0488,18635.47779,18449.5,4727.935783,E02,6059,0.049,6059
E08,40.02983333,536.5371667,11.131,2790,0.0488,2034.110394,1979,952.3215784,E08,6325,0.049,6325
F02,45.06333333,541.5706667,10.994,2236,0.0488,12395.91726,11900,4194.455207,F02,6326,0.049,6326
F08,50.30233333,546.8096667,12.033,2328,0.0488,2476.594502,2382,1026.888705,F08,6327,0.049,6327
E03,35.9335,532.4408333,10.885,3293,0.0977,18394.6945,18219,4854.290255,E03,6059,0.098,6059
E09,40.84566667,537.353,9.881,2768,0.0977,2052.889451,1993,897.8027026,E09,6325,0.098,6325
F03,45.911,542.4183333,11.021,2764,0.0977,11736.38531,11218.5,4089.298082,F03,6326,0.098,6326
F09,51.18933333,547.6966667,13.827,2544,0.0977,2546.30228,2466,1119.878479,F09,6327,0.098,6327
E04,36.74816667,533.2555,10.693,3173,0.195,18158.54806,17901,4873.602502,E04,6059,0.195,6059
E10,41.638,538.1453333,12.097,2834,0.195,2043.078687,2000,844.8444441,E10,6325,0.195,6325
F04,46.736,543.2433333,13.248,2728,0.195,11776.57771,11146,4148.914268,F04,6326,0.195,6326
F10,52.10766667,548.615,12.733,2570,0.195,2557.068872,2485,1036.162167,F10,6327,0.195,6327
E05,37.54666667,534.054,10.645,2997,0.391,16272.08375,16040,4882.764797,E05,6059,0.391,6059
E11,42.4915,538.9988333,11.647,2749,0.391,2077.419789,2027,743.569442,E11,6325,0.391,6325
F05,47.628,544.1353333,11.675,2390,0.391,12186.13724,11769,4229.829371,F05,6326,0.391,6326
F11,52.99883333,549.5061667,15.08,2549,0.391,2557.509219,2484,1031.788149,F11,6327,0.391,6327
E06,38.35666667,534.864,10.345,2992,0.781,12234.75468,11621.5,4824.600936,E06,6325,0.781,6059
E12,43.32116667,539.8285,13.455,2765,0.781,2156.818807,2075,1152.753374,E12,6325,0.781,6325
F06,48.48416667,544.9915,14.707,2716,0.781,11086.33211,10464,3897.820266,F06,6326,0.781,6326
F12,53.91416667,550.4215,15.108,2579,0.781,2634.715394,2534,1166.192829,F12,6327,0.781,6327
A02,0.618666667,497.126,3.847,2294,1.56,9274.510898,8469,4198.961316,A02,6059,1.563,6059
B02,8.178333333,504.6856667,5.303,2590,1.56,2365.066023,2271,885.9861123,B02,6325,1.563,6325
C02,16.5395,513.0468333,7.983,2972,1.56,11127.88594,10476,4171.038888,C02,6326,1.563,6326
D02,25.42216667,521.9295,11.16,3195,1.56,3059.667919,2840,1697.835585,D02,6327,1.563,6327
A03,1.220166667,497.7275,3.851,2431,3.13,5251.324558,4680,2549.465855,A03,6059,3.125,6059
B03,8.821666667,505.329,5.972,2884,3.13,3400.020111,3190,1478.059375,B03,6325,3.125,6325
C03,17.24116667,513.7485,8.727,3126,3.13,8956.445617,8245,3731.42366,C03,6326,3.125,6326
D03,26.20733333,522.7146667,11.024,3059,3.13,3962.892449,3611,1885.684818,D03,6327,3.125,6327
A04,1.7885,498.2958333,5.698,2351,6.25,3769.120374,3415,1925.683557,A04,6059,6.250,6059
B04,9.473166667,505.9805,10.478,2817,6.25,4780.312389,4458,1985.595465,B04,6325,6.250,6325
C04,17.94433333,514.4516667,7.085,3024,6.25,7139.513889,6642,2984.631921,C04,6326,6.250,6326
D04,26.99233333,523.4996667,11.887,2830,6.25,5372.066078,4928,2421.081602,D04,6327,6.250,6327
A05,2.411666667,498.919,4.947,2482,12.5,2864.696616,2701,1254.669986,A05,6059,12.500,6059
B05,10.17466667,506.682,5.89,2938,12.5,6282.701838,5827.5,2610.075338,B05,6325,12.500,6325
C05,18.65583333,515.1631667,8.772,3002,12.5,5641.348101,5155.5,2515.62181,C05,6326,12.500,6326
D05,27.82216667,524.3295,10.987,3121,12.5,6314.74207,5840,2678.963052,D05,6327,12.500,6327
A06,3.028333333,499.5356667,3.976,2489,25,2732.873041,2479,1857.374855,A06,6059,25.000,6059
B06,10.86316667,507.3705,5.953,2928,25,6830.539959,6381,2734.651877,B06,6325,25.000,6325
C06,19.38116667,515.8885,8.154,3264,25,4724.383578,4338.5,2140.757497,C06,6326,25.000,6326
D06,28.63033333,525.1376667,10.469,3196,25,7111.955569,6550.5,3049.290621,D06,6327,25.000,6327
A07,3.707,500.2143333,4.86,2427,37.5,2599.329213,2458,1484.92576,A07,6059,37.500,6059
B07,11.613,508.1203333,5.8,2801,37.5,7149.468047,6692,2961.388766,B07,6325,37.500,6325
C07,20.17233333,516.6796667,8.12,3045,37.5,4726.069951,4346,2199.005528,C07,6326,37.500,6326
D07,29.46216667,525.9695,10.332,3027,37.5,7411.740998,6877,3098.12698,D07,6327,37.500,6327
A08,4.324833333,500.8321667,4.239,2436,50,2627.278325,2469,1329.879441,A08,6059,50.000,6059
B08,12.3115,508.8188333,5.939,2809,50,7457.972232,7020,2976.422261,B08,6325,50.000,6325
C08,20.87416667,517.3815,7.844,3202,50,4423.450656,4072,1902.844007,C08,6326,50.000,6326
D08,30.24216667,526.7495,9.356,3148,50,7550.807814,7029.5,3112.35582,D08,6327,50.000,6327
A09,4.935,501.4423333,4.133,2554,75,2867.783085,2629.5,1874.790222,A09,6059,75.000,6059
B09,13.00433333,509.5116667,7.104,2955,75,7644.569205,7145,3028.916709,B09,6325,75.000,6325
C09,21.60933333,518.1166667,9.143,2993,75,4305.644504,3947,1883.137798,C09,6326,75.000,6326
D09,31.02216667,527.5295,12.201,3191,75,7607.930743,7007,3156.697249,D09,6327,75.000,6327
A10,5.556666667,502.064,5.15,2550,100,2508.777647,2349.5,1516.577576,A10,6059,100.000,6059
B10,13.70116667,510.2085,6.166,3023,100,7801.691697,7285,3124.905452,B10,6325,100.000,6325
C10,22.35383333,518.8611667,9.832,3086,100,4174.973428,3779,2021.716248,C10,6326,100.000,6326
D10,31.86166667,528.369,13.266,3084,100,7828.949741,7239.5,3262.092203,D10,6327,100.000,6327
