,index,score,a,a,a,a,k,k,k,k,b,b,u,u,u,u,n
,,0,0,1,2,3,0,1,2,3,0,1,0,1,2,3,0
,,,,,,,,,,,,,,,,,
count,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0
mean,570.375,1.01451422857,1.41035891633,0.375307115446,0.512128633376,0.555826648706,0.954383009064,0.325932828063,0.341655443671,0.369724527131,0.23881657087,0.111246328579,0.368692200346,0.368692200346,0.368692200346,0.368692200346,1.76072275394
std,119.18814467,2.32685881145e-07,0.0821804717598,0.0852380906511,0.116310650644,0.126196776031,0.299022727219,0.102116082058,0.107047146954,0.115848507001,0.102845891209,0.00648203672538,0.0837428539973,0.0837428539973,0.0837428539973,0.0837428539973,0.000258395668299
min,329.0,1.01451414963,1.14601353435,0.25672988097,0.350337514306,0.380233896242,0.44118334445,0.150667943682,0.157936205148,0.170910261012,0.0345820043167,0.0903958753872,0.252214905265,0.252214905265,0.252214905265,0.252214905265,1.75973572415
25%,496.5,1.01451415179,1.39931696453,0.311737573548,0.425387910536,0.461615838723,0.747223907687,0.255175592821,0.26747424828,0.289452962267,0.168768274324,0.110375219479,0.306255826157,0.306255826157,0.306255826157,0.306255826157,1.76071327305
50%,557.0,1.01451415534,1.44185136374,0.36088293242,0.492440175458,0.534479031594,0.931170144249,0.318073322533,0.33342220748,0.360892479717,0.243291442107,0.113732143662,0.35451938013,0.35451938013,0.35451938013,0.35451938013,1.76073645956
75%,655.0,1.01451418421,1.45778506439,0.421407588038,0.575019234552,0.624093607837,1.2152073636,0.414934392127,0.434984071956,0.470776160514,0.332097243544,0.114987370701,0.413959654423,0.413959654423,0.413959654423,0.413959654423,1.76075738434
max,899.0,1.01451538835,1.49777999692,0.570284429454,0.778179887079,0.844601158965,1.45908333948,0.498385613068,0.52238681837,0.565232450003,0.38914256222,0.118141607929,0.560230670779,0.560230670779,0.560230670779,0.560230670779,1.76187284132
