treatment (Be uM),Strain 6059,Strain 6325,Strain 6326,Strain 6327
0.006,18886.388846926428,2045.0750703275937,13844.15505265088,2482.8251195740936
0.00690184800582,18886.29740541026,2045.0806841425231,13844.137769836168,2482.8279189957079
0.00793925098258,18886.173896704477,2045.0882667314363,13844.114425933851,2482.8317001921278
0.00913258392697,18886.007084529141,2045.0985080246792,13844.082896936701,2482.8368072239305
0.0105052843607,18885.781801162095,2045.1123394136089,13844.040315495911,2482.8437045745241
0.0120843126526,18885.477575463836,2045.1310180659589,13843.982811368034,2482.8530192077228
0.0139006815305,18885.066784390146,2045.1562405679222,13843.905161594561,2482.865597259939
0.0159900651835,18884.512163947944,2045.1902960239875,13843.800319239845,2482.8825804275034
0.0183934999166,18883.763460024973,2045.2362722036189,13843.658778879622,2482.9055088411574
0.0211581901199,18882.752925835895,2045.2983329371136,13843.467722852765,2482.9364595329498
0.024338435381,18881.389275366855,2045.3820911024077,13843.209873429665,2482.978232685492
0.0279966969498,18879.54957429185,2045.4951096908871,13842.861951046529,2483.0346019578433
0.0322048245021,18877.068383037677,2045.6475742114023,13842.392605731186,2483.11065062954
0.0370454672946,18873.723251291747,2045.8531938725146,13841.759645435861,2483.213222513255
0.0426136974287,18869.215388787907,2046.130407556599,13840.906328257177,2483.3515260964787
0.0490188771031,18863.143993805716,2046.5039947736659,13839.756411904571,2483.5379428734418
0.0563868065303,18854.972302246828,2047.0072230047851,13838.207559103626,2483.7891071980357
0.064862194701,18843.982929566788,2047.6847027875888,13836.12257724705,2484.1273463372545
0.074611501525,18829.219538184712,2048.5961723927571,13833.317819788086,2484.5825971339732
0.0858262071686,18809.411334880802,2049.8214968292373,13829.547891536737,2485.194951566154
0.098726572799,18782.876513797364,2051.4672427404089,13824.485578213746,2486.0180297630113
0.113565966599,18747.400751593661,2053.6752822334643,13817.695665016359,2487.1234386010779
0.130635840017,18700.087652488575,2056.6339838528797,13808.601031050051,2488.6066506662178
0.150271451985,18637.180320273812,2060.5926637674875,13796.439133327343,2490.594737301537
0.172858453535,18553.858050797775,2065.8800857614356,13780.206778746231,2493.2565178807531
0.198840462137,18444.020950828359,2072.927897893429,13758.591020259671,2496.815855612042
0.228727774513,18300.089850693596,2082.299948015318,13729.884265562509,2501.5690526319263
0.263107389066,18112.870719855364,2094.7283840556474,13691.882514978068,2507.9075937172856
0.302654534757,17871.561938342627,2111.1572488395518,13641.767460912726,2516.3478830059203
0.348145932861,17564.015275403988,2132.7938222591247,13575.976607181634,2527.5701345611774
0.400475052075,17177.385742171875,2161.1671035127847,13490.071503939858,2542.4692179097196
0.460669656591,16699.299137444104,2198.1913693199876,13378.623849249874,2562.2209599994935
0.529911991781,16119.596827464722,2246.2304399523036,13235.153952840734,2588.3679397835008
0.609562003956,15432.555894186156,2308.1548385213541,13052.176819571609,2622.9286191747474
0.701184050238,14639.233002086561,2387.3791654883121,12821.436728302948,2668.531563620254
0.806577623141,13749.316532383898,2487.8606610397114,12534.434982063276,2728.5704045470952
0.927812693303,12781.747974652117,2614.0326366092049,12183.360033340768,2807.3618525751117
1.06727036451,11763.557171979272,2770.6400771678464,11762.482096534657,2910.2646998376258
1.22768963949,10726.88453790823,2962.4432534990269,11269.935033104355,3043.6804865397003
1.41222121502,9704.8376982615118,3193.7651131282114,10709.560437534672,3214.8122725282619
1.62448936277,8727.2889882952386,3467.8869174592146,10092.201538121662,3431.0297603630333
1.86866311149,7817.6952621034052,3786.3474710504106,9435.7032089982167,3698.723685780998
2.14953812826,6991.5490297325223,4148.2661611565618,8763.1375234935658,4021.6872760023571
2.47263090733,6256.4488911503986,4549.8637411724885,8099.4696885593039,4399.3504816664254
2.84428711615,5613.3251616006,4984.3608377718192,7467.6539268207307,4825.4991216553508
3.27180622676,5058.2092092007451,5442.3657718321683,6885.453383531777,5288.1838616109253
3.76358488027,4584.0333673197038,5912.729650147824,6363.8739441568678,5771.155679518427
4.3292818001,4182.1514696666381,6383.700353413662,5907.3081865513013,6256.4728019333115
4.98000749311,3843.4621063504842,6844.1172095738448,5514.8495250330343,6727.3663446785931
