time (min),induction layer,Strain 6059,Strain 6325,Strain 6326,Strain 6327
0.25,4.90437719985,17619.5524421,1734.51204411,14185.772695,2716.3264412
0.5,9.80235431775,17619.5499274,1734.51204424,14185.772695,2716.3264412
0.75,14.6939397028,17619.5439041,1734.51204477,14185.772695,2716.3264412
1.0,19.5791416772,17619.5332329,1734.51204617,14185.772695,2716.3264412
1.25,24.4579685651,17619.5167895,1734.51204899,14185.772695,2716.3264412
1.5,29.3304286906,17619.4934369,1734.51205378,14185.7726949,2716.3264412
1.75,34.1965303778,17619.4622608,1734.51206105,14185.7726949,2716.3264412
2.0,39.0562819507,17619.4225248,1734.51207146,14185.7726949,2716.3264412
2.25,43.9096917325,17619.3733178,1734.51208633,14185.7726948,2716.3264412
2.5,48.7567679291,17619.313728,1734.51210665,14185.7726947,2716.3264412
2.75,53.5975187477,17619.2428439,1734.5121333,14185.7726945,2716.3264412
3.0,58.4319524601,17619.1597685,1734.51216716,14185.7726942,2716.3264412
3.25,63.2600773378,17619.0639673,1734.51220912,14185.7726938,2716.3264412
3.5,68.0819016527,17618.9548199,1734.51226005,14185.7726934,2716.3264412
3.75,72.8974336763,17618.831581,1734.51232084,14185.7726928,2716.3264412
4.0,77.7066816717,17618.6935053,1734.51239268,14185.772692,2716.3264412
4.25,82.5096537649,17618.5398477,1734.51247777,14185.7726911,2716.3264412
4.5,87.3063581116,17618.3699113,1734.51257747,14185.7726901,2716.3264412
4.75,92.0968028914,17618.183264,1734.51269304,14185.7726887,2716.3264412
5.0,96.8809962733,17617.9793148,1734.51282574,14185.7726869,2716.32644121
5.25,101.658946415,17617.7574363,1734.51297684,14185.7726847,2716.32644121
5.5,106.430661465,17617.5170009,1734.51314758,14185.7726821,2716.32644121
5.75,111.19614956,17617.2573813,1734.51333924,14185.7726791,2716.32644121
6.0,115.955418825,17616.9780356,1734.51355363,14185.7726754,2716.32644122
6.25,120.708477377,17616.6785613,1734.51379348,14185.7726713,2716.32644122
6.5,125.45533332,17616.3584218,1734.51406056,14185.7726665,2716.32644123
6.75,130.195994747,17616.0170761,1734.51435657,14185.772661,2716.32644124
7.0,134.930469743,17615.6539827,1734.5146832,14185.7726546,2716.32644125
7.25,139.65876638,17615.2686012,1734.51504218,14185.7726473,2716.32644126
7.5,144.380892719,17614.8605406,1734.51543519,14185.772639,2716.32644127
7.75,149.096856813,17614.4294306,1734.51586395,14185.7726295,2716.32644129
8.0,153.806666702,17613.9748117,1734.51633079,14185.7726189,2716.32644131
8.25,158.510330415,17613.4962244,1734.51683851,14185.772607,2716.32644133
8.5,163.207855972,17612.9932094,1734.51738919,14185.7725937,2716.32644136
8.75,167.899251382,17612.4653071,1734.51798488,14185.772579,2716.32644139
9.0,172.584524655,17611.912058,1734.51862766,14185.7725628,2716.32644143
9.25,177.26368378,17611.3330027,1734.51931959,14185.7725447,2716.32644147
9.5,181.936736737,17610.7276823,1734.52006272,14185.7725247,2716.32644152
9.75,186.603691495,17610.0957768,1734.52085913,14185.7725026,2716.32644158
10.0,191.264556011,17609.436994,1734.52171174,14185.7724782,2716.32644164
10.25,195.919338233,17608.7509676,1734.52262357,14185.7724516,2716.32644171
10.5,200.568046097,17608.0373411,1734.52359704,14185.7724224,2716.32644179
10.75,205.21068753,17607.2957681,1734.5246346,14185.7723907,2716.32644188
11.0,209.847270448,17606.5259119,1734.52573866,14185.7723563,2716.32644198
11.25,214.477802755,17605.7274456,1734.52691166,14185.7723189,2716.32644209
11.5,219.102292347,17604.9000522,1734.52815603,14185.7722782,2716.32644222
11.75,223.720747107,17604.0434245,1734.52947419,14185.772234,2716.32644235
12.0,228.333174909,17603.1572651,1734.53086858,14185.7721862,2716.32644251
12.25,232.939583616,17602.2412866,1734.53234162,14185.7721345,2716.32644267
12.5,237.53998108,17601.2952112,1734.53389574,14185.7720787,2716.32644286
12.75,242.134375144,17600.3187711,1734.53553338,14185.7720187,2716.32644306
13.0,246.722773638,17599.3117061,1734.53725704,14185.7719543,2716.32644328
13.25,251.305184385,17598.2736989,1734.53907002,14185.7718852,2716.32644352
13.5,255.881615199,17597.2044612,1734.54097525,14185.7718114,2716.32644378
13.75,260.452073912,17596.1037399,1734.54297545,14185.7717325,2716.32644406
14.0,265.016568321,17594.9712898,1734.54507339,14185.7716485,2716.32644437
14.25,269.57510621,17593.806874,1734.54727186,14185.7715591,2716.32644471
14.5,274.127695356,17592.6102633,1734.54957369,14185.7714641,2716.32644508
14.75,278.674343523,17591.3812368,1734.55198169,14185.7713634,2716.32644548
15.0,283.215058464,17590.1195818,1734.55449874,14185.7712563,2716.32644592
15.25,287.749847924,17588.8250934,1734.55712771,14185.7711425,2716.32644639
15.5,292.278719636,17587.4975748,1734.55987153,14185.7710217,2716.32644691
15.75,296.801681325,17586.1368375,1734.56273312,14185.7708936,2716.32644746
16.0,301.318740703,17584.7427007,1734.56571544,14185.7707579,2716.32644806
16.25,305.829905474,17583.3149921,1734.56882147,14185.7706142,2716.32644871
16.5,310.33518333,17581.8535409,1734.57205422,14185.7704622,2716.32644941
16.75,314.834581954,17580.3581163,1734.57541672,14185.7703015,2716.32645016
17.0,319.328109019,17578.8285313,1734.57891202,14185.7701319,2716.32645097
17.25,323.815772186,17577.2646234,1734.5825432,14185.7699529,2716.32645183
17.5,328.297579107,17575.6662365,1734.58631337,14185.7697643,2716.32645276
17.75,332.773537425,17574.0332214,1734.59022564,14185.7695655,2716.32645376
18.0,337.24365477,17572.3654353,1734.59428311,14185.7693564,2716.32645482
18.25,341.707938764,17570.6627423,1734.59848884,14185.7691363,2716.32645596
18.5,346.166397017,17568.9250129,1734.602846,14185.768905,2716.32645718
18.75,350.61903713,17567.1521243,1734.60735778,14185.7686621,2716.32645847
19.0,355.065866694,17565.3439606,1734.6120274,14185.7684072,2716.32645986
19.25,359.506893289,17563.5004122,1734.61685809,14185.7681397,2716.32646133
19.5,363.942124485,17561.6213764,1734.62185313,14185.7678594,2716.3264629
19.75,368.371567841,17559.7067569,1734.62701579,14185.7675657,2716.32646457
20.0,372.795230907,17557.7564533,1734.63234939,14185.7672583,2716.32646634
20.25,377.213121223,17555.7703121,1734.63785724,14185.7669367,2716.32646822
20.5,381.625246317,17553.7482283,1734.64354271,14185.7666003,2716.32647021
20.75,386.031613708,17551.6901121,1734.64940917,14185.7662489,2716.32647232
21.0,390.432230904,17549.5958789,1734.65546001,14185.765882,2716.32647455
21.25,394.827105405,17547.4654496,1734.66169866,14185.765499,2716.3264769
21.5,399.216244697,17545.2987503,1734.66812855,14185.7650995,2716.32647939
21.75,403.599656259,17543.0957126,1734.67475316,14185.7646831,2716.32648202
22.0,407.977347558,17540.8562734,1734.68157597,14185.7642491,2716.32648479
22.25,412.349326052,17538.5803749,1734.6886005,14185.7637971,2716.3264877
22.5,416.715599188,17536.267965,1734.69583027,14185.7633267,2716.32649077
22.75,421.076174402,17533.9189964,1734.70326874,14185.7628372,2716.326494
23.0,425.431059121,17531.5334277,1734.71091865,14185.7623281,2716.3264974
23.25,429.780260762,17529.1112224,1734.71878323,14185.761799,2716.32650096
23.5,434.12378673,17526.6523353,1734.72686594,14185.7612493,2716.3265047
23.75,438.461644446,17524.1566844,1734.73517023,14185.7606784,2716.32650863
24.0,442.793841421,17521.6242303,1734.74369958,14185.7600858,2716.32651275
24.25,447.120385058,17519.054942,1734.75245747,14185.7594709,2716.32651707
24.5,451.441282737,17516.4487926,1734.7614474,14185.7588331,2716.3265216
24.75,455.756541827,17513.8057598,1734.77067289,14185.758172,2716.32652635
25.0,460.066169687,17511.1258253,1734.78013746,14185.7574868,2716.32653131
25.25,464.370173667,17508.4089756,1734.78984467,14185.756777,2716.3265365
25.5,468.668561105,17505.6552011,1734.79979807,14185.7560419,2716.32654193
25.75,472.961339332,17502.8644968,1734.81000123,14185.7552811,2716.3265476
26.0,477.248515667,17500.036862,1734.82045774,14185.7544938,2716.32655352
26.25,481.530097421,17497.1723003,1734.8311712,14185.7536792,2716.3265597
26.5,485.806091892,17494.2708196,1734.84214522,14185.7528366,2716.32656615
26.75,490.076506372,17491.3324324,1734.85338344,14185.7519653,2716.32657288
27.0,494.341348141,17488.3571411,1734.86488949,14185.7510647,2716.32657988
27.25,498.60062447,17485.344931,1734.87666704,14185.750134,2716.32658718
27.5,502.854342618,17482.2958139,1734.88871975,14185.7491726,2716.32659478
27.75,507.102509837,17479.2098055,1734.90105093,14185.7481797,2716.32660268
28.0,511.345133368,17476.0869242,1734.91366367,14185.7471547,2716.32661091
28.25,515.582220442,17472.9271912,1734.92656154,14185.7460968,2716.32661946
28.5,519.813778279,17469.7306307,1734.93974812,14185.7450053,2716.32662834
28.75,524.039814093,17466.4972694,1734.953227,14185.7438793,2716.32663757
29.0,528.260335083,17463.2271366,1734.96700177,14185.7427183,2716.32664716
29.25,532.475348441,17459.9202641,1734.98107603,14185.7415213,2716.3266571
29.5,536.68486135,17456.5766865,1734.99545338,14185.7402877,2716.32666744
29.75,540.888880982,17453.1964407,1735.01013746,14185.7390166,2716.3266782
30.0,545.087414498,17449.7795657,1735.02513187,14185.7377073,2716.32668937
30.25,549.28046905,17446.3261033,1735.04044025,14185.7363589,2716.32670099
30.5,553.468051782,17442.8360972,1735.05606624,14185.7349707,2716.32671306
30.75,557.650169825,17439.3095934,1735.07201348,14185.7335419,2716.32672559
31.0,561.826830303,17435.74664,1735.08828563,14185.7320715,2716.32673861
31.25,565.998040328,17432.1472873,1735.10488634,14185.7305588,2716.32675212
31.5,570.163807002,17428.5115874,1735.12181929,14185.729003,2716.32676614
31.75,574.32413742,17424.8395945,1735.13908814,14185.7274032,2716.32678068
32.0,578.479038665,17421.1313646,1735.15669658,14185.7257586,2716.32679577
32.25,582.628517809,17417.3869567,1735.1746483,14185.7240684,2716.32681141
32.5,586.772581917,17413.6064439,1735.19294695,14185.7223317,2716.32682762
32.75,590.911238042,17409.7898944,1735.21159576,14185.7205477,2716.32684442
33.0,595.044493228,17405.9373749,1735.23059828,14185.7187153,2716.32686183
33.25,599.172354508,17402.0489538,1735.24995813,14185.7168339,2716.32687986
33.5,603.294828908,17398.1247016,1735.26967893,14185.7149024,2716.32689853
33.75,607.411923441,17394.1646905,1735.28976433,14185.7129199,2716.32691785
