,Unnamed: 0,time,au,layer,residual
0,0,955.3248337,2988.526316,1,-64.21012417
1,1,835.7663337,3016.38652,1,-258.32661899
2,2,776.5336667,3173.730217,1,-265.9385681
3,3,714.0488337,3216.865893,1,-453.09901019
4,4,896.8099997,3242.507778,1,96.3971165
5,5,592.6054997,3424.88225,1,-931.8061761
6,6,653.1324997,3540.723695,1,-425.73688674
7,7,534.8476667,4040.010469,1,-799.97905506
8,8,475.9128337,4666.964017,1,-808.54971648
9,9,416.6391667,5396.991833,1,-905.37394078
10,10,355.2361667,6449.73609,1,-958.06454011
11,11,297.5509997,8572.92662,1,-152.00285662
12,12,238.6716667,11111.87672,1,725.3991907
13,13,177.735,13664.2762,1,1196.4013525
14,14,1.0,16134.09281,1,-1485.4404229
15,15,58.947,16150.72015,1,-677.5944134
16,16,121.0041667,17009.77831,1,2368.5120736
17,17,1477.892667,2947.987106,1,164.6758846
18,18,1410.9935,3128.147629,1,335.65502217
19,19,1775.638834,3151.660667,1,386.72082665
20,20,1714.515667,3214.338308,1,447.42921842
21,21,1004.904167,3237.379219,1,246.25032453
22,22,1599.720834,3424.210019,1,651.60797059
23,23,1298.738167,3435.145359,1,618.851577
24,0,1406.604167,8331.7019,2,317.02437386
25,1,892.3368333,6988.115992,2,345.14737333
26,2,1.0,2434.974504,2,700.46245783
27,3,54.68766667,2415.427131,2,676.78106597
28,4,116.5646667,2205.264605,2,423.65673289
29,5,173.1871667,2267.910534,2,382.22039983
30,6,234.147,2285.271582,2,204.94708983
31,7,292.9811667,2513.473684,2,162.75271331
32,8,350.6185,2511.479062,2,-176.88114988
33,9,412.0883333,2832.478284,2,-283.66838821
34,10,772.0388333,5605.875291,2,-327.15156087
35,11,471.4881667,3004.131673,2,-573.38619132
36,12,530.3148333,3318.437195,2,-740.38070309
37,13,588.0108333,3896.26235,2,-641.56612969
38,14,648.6096667,4475.98621,2,-551.83757651
39,15,709.4625,4866.51526,2,-628.020465
40,16,831.1988333,6145.973721,2,-159.61600811
41,17,950.7786667,7255.270923,2,332.24818052
42,18,1000.994667,7812.806151,2,681.50413619
43,19,1294.230167,8952.684572,2,1076.5107899
44,20,1473.35,7513.20625,2,-560.4249417
45,21,1595.419833,8154.160858,2,4.75934594
46,22,1709.996333,8185.642962,2,-8.31093195
47,23,1771.049333,8335.083973,2,124.55155064
48,0,1.0,11798.93862,3,-2386.834075
49,1,47.126,12668.83655,3,-1516.664872
50,2,108.8171667,13513.99108,3,-662.0219266
51,3,165.3201667,13870.94771,3,-263.281342
52,4,226.3221667,15025.10269,3,1005.2760526
53,5,285.0685,14709.30619,3,895.0122327
54,6,342.6601667,14187.10962,3,681.3921212
55,7,404.2133333,13945.51989,3,885.8717605
56,8,463.7415,12897.99069,3,371.3835169
57,9,522.4465,12057.46354,3,130.3836117
58,10,580.0665,11078.86314,3,-219.7089148
59,11,640.7528333,10850.28413,3,229.4838139
60,12,701.5261667,9790.087365,3,-166.81185619
61,13,764.194,9068.977185,3,-239.6039516
62,14,823.2738333,8261.427158,3,-486.17544957
63,15,884.509,8060.804064,3,-161.99246954
64,16,942.8768333,7219.787653,3,-558.99418279
65,17,993.6746667,7063.113333,3,-375.17979423
66,18,1286.357333,6288.009113,3,129.74522315
67,19,1398.852667,6070.226092,3,175.84338641
68,20,1465.452,5649.507153,3,-127.91202165
69,21,1587.82,5869.669248,3,249.30123435
70,22,1702.1215,6103.047294,3,580.29558731
71,23,1763.126833,6012.926969,3,528.36331569
72,24,1763.126833,6012.926969,3,528.36331569
73,0,1366.233333,6370.63488,4,210.33881394
74,1,851.7513333,4013.726079,4,-69.56304052
75,2,1.0,2610.941839,4,-105.3846022
76,3,14.71833333,3029.5935,4,313.26705452
77,4,76.20483333,2839.080042,4,122.71331165
78,5,132.5261667,2851.570678,4,134.54492758
79,6,193.5345,2896.519608,4,175.77653868
80,7,252.2061667,2918.954292,4,187.68182775
81,8,309.7421667,2710.655172,4,-42.33660838
82,9,371.379,2837.181769,4,42.7280969
83,10,731.4098333,3529.879108,4,-73.80825024
84,11,431.0626667,2886.92811,4,29.75614012
85,12,489.677,2898.17737,4,-46.7240852
86,13,547.2215,2597.296976,4,-460.69787122
87,14,607.9951667,3093.298722,4,-114.48292772
88,15,668.6383333,2968.970715,4,-419.07959428
89,16,790.4048333,3568.232349,4,-261.58958037
90,17,910.0881667,4261.621081,4,-74.78921551
91,18,961.5773333,4938.524513,4,373.13825618
92,19,1253.589833,6441.146437,4,656.1847097
93,20,1432.6295,6101.239661,4,-248.31388301
94,21,1555.3605,6964.068876,4,326.67799585
95,22,1669.318833,6723.599595,4,-117.51864227
96,23,1730.228833,6573.616822,4,-354.57055597
