,,count,mean,std,min,25%,50%,75%,max
index,,39.0,311.666666667,147.477265569,73.0,200.0,321.0,389.0,609.0
score,0,39.0,0.425337612172,0.000442051424594,0.425075433137,0.425076553584,0.425147205534,0.425383926254,0.426918497014
a,0,39.0,1.43788340353,0.00635267386492,1.42191107011,1.436640989,1.43800314993,1.43883953854,1.4669788998
a,1,39.0,0.426468321076,0.0383790032833,0.372133114712,0.39819874804,0.416529800038,0.447927106748,0.520334520738
a,2,39.0,0.597611246727,0.0540234991849,0.523466188454,0.558214387448,0.5826739231,0.631742347474,0.730939573388
a,3,39.0,0.55035719094,0.0493430721927,0.482869262577,0.511341131315,0.541345761674,0.584126864357,0.673436687861
k,0,39.0,1.20597832506,0.177118418262,0.837653018368,1.0807897927,1.22401132437,1.33341679337,1.49253210306
k,1,39.0,0.528493430321,0.078090122329,0.365861766535,0.468352366566,0.531377635844,0.590927416669,0.653056567314
k,2,39.0,0.398851181067,0.0582513404534,0.276831440721,0.356050734019,0.401819325548,0.441327928783,0.492764757352
k,3,39.0,0.293011495861,0.0437260780923,0.203490807907,0.263910895944,0.298651289833,0.324061966448,0.363947561262
n,0,39.0,1.73493744487,0.000176844841109,1.73427268062,1.735,1.735,1.73500001,1.73500001
u,0,39.0,0.312214890784,0.0281440733141,0.27349152727,0.291797426526,0.306723751386,0.329889224081,0.381629887305
b,0,39.0,0.130585343817,0.000490616535614,0.129154747342,0.130496180753,0.130582487337,0.130618601118,0.132791449727
