,sample,layer,time-to-half-max (min)
0,0,1,310.0
1,0,2,662.5
2,0,3,862.5
3,0,4,1165.0
4,0,5,1400.0
5,0,6,1602.5
6,0,7,1795.0
7,0,8,1987.5
8,0,9,2177.5
9,0,10,2367.5
10,0,11,2557.5
11,0,12,2747.5
12,0,13,2937.5
13,0,14,3127.5
14,0,15,3317.5
15,0,16,3507.5
16,0,17,3697.5
17,0,18,3887.5
18,0,19,4077.5
19,0,20,4270.0
20,0,21,4457.5
21,0,22,4640.0
22,0,23,4852.5
23,0,24,5035.0
24,0,25,5202.5
25,0,26,5330.0
26,0,27,7575.0
27,0,28,5812.5
28,0,29,2422.5
29,0,30,8275.0
30,1,1,292.5
31,1,2,682.5
32,1,3,795.0
33,1,4,1235.0
34,1,5,1380.0
35,1,6,1727.5
36,1,7,1692.5
37,1,8,1885.0
38,1,9,1960.0
39,1,10,2342.5
40,1,11,2562.5
41,1,12,2835.0
42,1,13,3037.5
43,1,14,3260.0
44,1,15,3455.0
45,1,16,3655.0
46,1,17,3830.0
47,1,18,4020.0
48,1,19,4202.5
49,1,20,4390.0
50,1,21,4580.0
51,1,22,4772.5
52,1,23,4962.5
53,1,24,5155.0
54,1,25,5347.5
55,1,26,5537.5
56,1,27,5727.5
57,1,28,5920.0
58,1,29,6117.5
59,1,30,6292.5
60,2,1,235.0
61,2,2,482.5
62,2,3,550.0
63,2,4,820.0
64,2,5,892.5
65,2,6,1105.0
66,2,7,1212.5
67,2,8,1445.0
68,2,9,1525.0
69,2,10,1825.0
70,2,11,1860.0
71,2,12,2120.0
72,2,13,2182.5
73,2,14,2552.5
74,2,15,2692.5
75,2,16,2990.0
76,2,17,3107.5
77,2,18,3395.0
78,2,19,3410.0
79,2,20,3542.5
80,2,21,3710.0
81,2,22,3900.0
82,2,23,4085.0
83,2,24,4285.0
84,2,25,4465.0
85,2,26,4655.0
86,2,27,4842.5
87,2,28,5032.5
88,2,29,5225.0
89,2,30,5417.5
90,3,1,275.0
91,3,2,612.5
92,3,3,750.0
93,3,4,1160.0
94,3,5,1410.0
95,3,6,1650.0
96,3,7,1825.0
97,3,8,2072.5
98,3,9,2287.5
99,3,10,2480.0
100,3,11,2667.5
101,3,12,2860.0
102,3,13,3052.5
103,3,14,3245.0
104,3,15,3435.0
105,3,16,3627.5
106,3,17,3817.5
107,3,18,4007.5
108,3,19,4200.0
109,3,20,4390.0
110,3,21,4580.0
111,3,22,4775.0
112,3,23,4960.0
113,3,24,5167.5
114,3,25,5332.5
115,3,26,5535.0
116,3,27,5790.0
117,3,28,6065.0
118,3,29,5935.0
119,3,30,6252.5
120,4,1,295.0
121,4,2,667.5
122,4,3,865.0
123,4,4,1190.0
124,4,5,1420.0
125,4,6,1650.0
126,4,7,1857.5
127,4,8,2050.0
128,4,9,2237.5
129,4,10,2430.0
130,4,11,2620.0
131,4,12,2812.5
132,4,13,3005.0
133,4,14,3195.0
134,4,15,3385.0
135,4,16,3577.5
136,4,17,3767.5
137,4,18,3960.0
138,4,19,4150.0
139,4,20,4342.5
140,4,21,4532.5
141,4,22,4725.0
142,4,23,4915.0
143,4,24,5107.5
144,4,25,5297.5
145,4,26,5492.5
146,4,27,5682.5
147,4,28,5870.0
148,4,29,6070.0
149,4,30,6247.5
150,5,1,272.5
151,5,2,572.5
152,5,3,680.0
153,5,4,992.5
154,5,5,1140.0
155,5,6,1407.5
156,5,7,1530.0
157,5,8,1787.5
158,5,9,1930.0
159,5,10,2167.5
160,5,11,2267.5
161,5,12,2515.0
162,5,13,2650.0
163,5,14,2927.5
164,5,15,3087.5
165,5,16,3370.0
166,5,17,3460.0
167,5,18,3752.5
168,5,19,3905.0
169,5,20,4160.0
170,5,21,4242.5
171,5,22,4452.5
172,5,23,4555.0
173,5,24,4712.5
174,5,25,4887.5
175,5,26,5072.5
176,5,27,5262.5
177,5,28,5455.0
178,5,29,5645.0
179,5,30,5835.0
180,6,1,285.0
181,6,2,615.0
182,6,3,705.0
183,6,4,1180.0
184,6,5,1467.5
185,6,6,1687.5
186,6,7,1847.5
187,6,8,2072.5
188,6,9,2190.0
189,6,10,2365.0
190,6,11,2532.5
191,6,12,2730.0
192,6,13,2910.0
193,6,14,3115.0
194,6,15,3292.5
195,6,16,3505.0
196,6,17,3690.0
197,6,18,3902.5
198,6,19,4102.5
199,6,20,4297.5
200,6,21,4487.5
201,6,22,4680.0
202,6,23,4872.5
203,6,24,5062.5
204,6,25,5252.5
205,6,26,5445.0
206,6,27,5635.0
207,6,28,5827.5
208,6,29,6025.0
209,6,30,6217.5
210,7,1,297.5
211,7,2,585.0
212,7,3,740.0
213,7,4,1067.5
214,7,5,1290.0
215,7,6,1527.5
216,7,7,1652.5
217,7,8,1862.5
218,7,9,2002.5
219,7,10,2270.0
220,7,11,2460.0
221,7,12,2680.0
222,7,13,2820.0
223,7,14,3077.5
224,7,15,3265.0
225,7,16,3495.0
226,7,17,3655.0
227,7,18,3867.5
228,7,19,4007.5
229,7,20,4182.5
230,7,21,4362.5
231,7,22,4550.0
232,7,23,4735.0
233,7,24,4925.0
234,7,25,5115.0
235,7,26,5305.0
236,7,27,5495.0
237,7,28,5687.5
238,7,29,5877.5
239,7,30,6067.5
240,8,1,297.5
241,8,2,587.5
242,8,3,730.0
243,8,4,995.0
244,8,5,1125.0
245,8,6,1415.0
246,8,7,1495.0
247,8,8,1895.0
248,8,9,1860.0
249,8,10,2300.0
250,8,11,2180.0
