,time-to-half-max (min),time-to-half-max (min),time-to-half-max (min),time-to-half-max (min),time-to-half-max (min),time-to-half-max (min),time-to-half-max (min),time-to-half-max (min)
,count,mean,std,min,25%,50%,75%,max
layer,,,,,,,,
1,1100.0,285.927272727,28.1383909675,220.0,264.375,292.5,307.5,340.0
2,1100.0,625.465909091,60.8024140156,452.5,585.0,620.0,672.5,800.0
3,1100.0,731.434090909,137.432029595,465.0,617.5,717.5,837.5,1075.0
4,1100.0,1041.85681818,156.154309949,582.5,945.0,1077.5,1157.5,1382.5
5,1100.0,1146.69318182,213.236179062,685.0,960.0,1160.0,1332.5,1652.5
6,1100.0,1427.86136364,228.595799786,810.0,1251.875,1505.0,1593.125,1937.5
7,1100.0,1545.89772727,272.439431113,960.0,1289.375,1610.0,1767.5,2255.0
8,1100.0,1803.60681818,287.880078629,1127.5,1539.375,1905.0,2012.5,2480.0
9,1100.0,1940.85454545,316.556658501,1287.5,1630.0,2035.0,2190.0,2692.5
10,1100.0,2177.49545455,323.683341165,1410.0,1877.5,2287.5,2415.625,2910.0
11,1100.0,2328.13409091,339.700667721,1540.0,2007.5,2435.0,2592.5,3090.0
12,1100.0,2553.14318182,343.873457372,1697.5,2246.875,2661.25,2808.125,3367.5
13,1100.0,2714.36363636,356.169949958,1732.5,2385.0,2826.25,2980.625,3595.0
14,1100.0,2927.64545455,358.635001577,1935.0,2604.375,3037.5,3192.5,3855.0
15,1100.0,3098.53409091,369.518004269,2010.0,2761.25,3207.5,3370.625,4132.5
16,1100.0,3304.22272727,367.559485485,2215.0,2971.875,3411.25,3577.5,4290.0
17,1100.0,3486.68181818,416.897106156,2100.0,3140.0,3590.0,3757.5,7992.5
18,1100.0,3701.74545455,475.168878295,2322.5,3349.375,3795.0,3960.0,10570.0
19,1100.0,3874.49772727,431.082224944,2622.5,3517.5,3972.5,4145.625,9570.0
20,1100.0,4069.25227273,516.531688485,1700.0,3711.25,4172.5,4342.5,12137.5
21,1100.0,4271.82727273,648.323467597,1725.0,3890.0,4360.0,4530.0,12420.0
22,1100.0,4463.575,593.19040897,1512.5,4085.0,4557.5,4725.625,11210.0
23,1100.0,4668.81136364,631.762713463,1485.0,4296.875,4747.5,4923.125,11970.0
24,1100.0,4913.15909091,940.989576332,1645.0,4464.375,4942.5,5122.5,12487.5
25,1100.0,5122.89090909,1027.56148434,1607.5,4661.875,5118.75,5315.0,12415.0
26,1100.0,5368.66136364,1181.23691171,1525.0,4849.375,5321.25,5517.5,12302.5
27,1100.0,5528.89318182,1168.31515012,1487.5,5026.875,5513.75,5722.5,12320.0
28,1100.0,5775.08181818,1382.08242731,1532.5,5216.875,5702.5,5932.5,12352.5
29,1100.0,5899.36818182,1491.32119575,1505.0,5345.0,5861.25,6130.625,12287.5
30,1100.0,6153.69090909,1780.89909724,1510.0,5539.375,6052.5,6353.125,12460.0
